id,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,cluster
1HrMWH5GUdK6Yi94rbANJA,0.706,0.74,-7.904,0.0325,0.512,0.135,0.444,122.007,10
1HrMWH5GUdK6Yi94rbANJA,0.706,0.74,-7.904,0.0325,0.512,0.135,0.444,122.007,10
6FDtusHKRJdlHLApla3VSa,0.831,0.847,-5.733,0.0445,0.648,0.158,0.874,121.006,15
6uQe7SVjdDlRqDRAi0qnKg,0.897,0.569,-9.822,0.0529,0.644,0.108,0.415,114.981,10
50Lf1pAMJqgnERsUK1hzG6,0.831,0.581,-8.137,0.0508,0.0121,0.176,0.786,121.954,7
2MDHlZxxTdqZkYcDBSAg0I,0.84,0.395,-9.371,0.412,0.0107,0.535,0.634,89.967,25
4twGoOSQgK1ygAKytIG3ZK,0.867,0.553,-10.05,0.0947,0.846,0.0691,0.624,117.981,15
5Gly7ucJofe02l9D6TwFT7,0.592,0.48,-10.077,0.368,0.0959,0.24,0.388,78.307,25
27TQsZpLTkMlFMoSJcKZFc,0.909,0.552,-9.378,0.0852,0.652,0.096,0.376,104.949,10
1ejVZdZLqAsDjdq3fFzaeH,0.512,0.224,-12.107,0.137,0.0245,0.118,0.277,82.433,22
7CquDZal3tGvTJQuJdHGzw,0.755,0.575,-6.76,0.287,0.0,0.0854,0.712,93.97,25
5M76ULrHhggAeWMPZoA5ok,0.682,0.521,-11.981,0.331,0.0,0.314,0.552,123.787,25
2PogneD4c7isUlvNo2k2XM,0.69,0.615,-7.206,0.0494,0.0,0.144,0.212,127.929,17
5yyJ2mNLCLBXMMpQqy0y7r,0.814,0.456,-12.468,0.361,4.62e-06,0.273,0.748,89.007,25
6z6JTuk1eILmT8G9PGzjMS,0.575,0.866,-7.416,0.346,1.85e-05,0.0596,0.763,159.924,3
5JocfrgrmW12ffEP9pwBYy,0.702,0.417,-13.027,0.434,6.57e-06,0.137,0.605,92.82,25
6MdqqkQ8sSC0WB4i8PyRuQ,0.867,0.646,-4.674,0.288,0.0,0.279,0.67,88.634,25
6OtlkByM64FzhICejC8TaY,0.601,0.422,-13.364,0.518,0.0,0.0839,0.563,132.456,25
58PGzzVkd6tmslILGekEtQ,0.845,0.326,-13.909,0.152,4.04e-05,0.28,0.368,88.988,18
5FMVYjQgrJHqH2e98UK1xe,0.845,0.312,-15.843,0.23,0.0,0.342,0.664,97.004,2
52riputZ4Vo5PG9MOSy6r5,0.912,0.416,-5.943,0.164,0.306,0.09,0.677,90.013,25
2212oBX0YELcs0sr6DqGer,0.905,0.414,-8.112,0.0615,0.000366,0.0914,0.758,99.133,2
4stm6lf1vQBSl7Eq4Npzr0,0.69,0.618,-9.36,0.0904,3.26e-06,0.0891,0.733,174.038,3
2WJvWaHWbQRSeHMQlcFEOx,0.476,0.549,-4.948,0.0342,0.0,0.24,0.297,119.803,17
7MiZjKawmXTsTNePyTfPyL,0.391,0.396,-8.621,0.189,0.405,0.315,0.199,99.112,22
3bjLA6ukBcGtvhe5tybxp7,0.775,0.294,-9.0,0.0749,0.0017,0.0637,0.202,141.015,17
4AVYhbGXnci04Hsjd4GLgw,0.664,0.724,-8.532,0.0784,9.96e-06,0.136,0.583,86.755,0
50OTfXmW3slsjetUNLrqOJ,0.592,0.611,-7.399,0.35,0.0,0.319,0.426,90.401,25
3Rgd8AuZGAue56UiSLcEzY,0.482,0.73,-5.496,0.372,0.0,0.656,0.379,180.274,16
7kDVEDdinNMgt6FPTL3foH,0.68,0.716,-7.547,0.29,0.0,0.963,0.746,150.058,16
0mysbS73neunkp2nd45S7F,0.704,0.75,-5.86,0.439,0.0,0.157,0.212,190.18,24
0e8CxZ3UlZIIV3ZRkzHN34,0.747,0.383,-12.404,0.0398,0.0,0.179,0.497,112.445,2
02GnSPkHSU3cZldlwnwQnT,0.724,0.914,-2.394,0.311,3.62e-06,0.107,0.232,136.142,25
6XhfRg4FlsrhFtHoqwKHAU,0.651,0.491,-8.949,0.238,0.00388,0.107,0.358,146.04,17
7B3s83qHMX8PrZc0zbR4ZJ,0.511,0.402,-7.382,0.453,0.0107,0.505,0.404,86.553,25
2jBQvPzumcKdcm2YNTPmvo,0.446,0.441,-9.122,0.209,0.896,0.0797,0.388,190.016,20
0lSmo74HWwYmWS4PkH2Vro,0.805,0.694,-4.852,0.166,0.0,0.145,0.61,132.013,7
5aZGIr9Va3ASpXlC7HdAeV,0.764,0.597,-7.422,0.148,7.26e-05,0.114,0.438,82.428,25
6EMHcawELZsuFopGUna0al,0.728,0.705,-7.973,0.0609,7.69e-05,0.521,0.0754,120.018,17
3irKuchN2iCEcFQKPGOBNx,0.712,0.725,-6.995,0.301,0.0,0.116,0.775,169.939,3
1wQ1T9oOA181rViSBhulZI,0.443,0.897,-4.75,0.0545,0.0,0.34,0.49,149.946,24
